lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
2,2,1,12,16,15,1,93.75,4.75,-2.77,11.03,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,15,16,10,6,62.5,1.36,-6.19,7.61,1.29,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,20,16,2,14,12.5,-4.31,-11.88,1.92,1.38,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,25,16,0,16,0.0,-9.97,-17.57,-3.77,1.4,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,0,16,16,0,100.0,16.36,8.08,22.44,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,2,16,16,0,100.0,14.1,5.81,20.1,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,4,16,16,0,100.0,11.83,3.53,17.76,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,6,16,16,0,100.0,9.56,1.25,15.42,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,8,16,15,1,93.75,7.3,-1.02,13.08,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,10,16,13,3,81.25,5.03,-3.3,10.74,1.26,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,12,16,11,5,68.75,2.77,-5.58,8.4,1.28,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,15,16,7,9,43.75,-0.63,-8.99,4.98,1.32,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,20,16,0,16,0.0,-6.3,-14.68,-0.71,1.4,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1.5,25,16,0,16,0.0,-11.96,-20.38,-6.4,1.4,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,0,16,16,0,100.0,14.38,5.28,22.16,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,2,16,16,0,100.0,12.11,3.0,19.82,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,4,16,16,0,100.0,9.84,0.73,17.48,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,6,16,13,3,81.25,7.58,-1.55,15.14,1.26,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,8,16,12,4,75.0,5.31,-3.83,12.8,1.27,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,10,16,11,5,68.75,3.05,-6.1,10.46,1.28,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,12,16,9,7,56.25,0.78,-8.38,8.11,1.3,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,15,16,6,10,37.5,-2.62,-11.8,4.6,1.33,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,20,16,0,16,0.0,-8.29,-17.49,-1.25,1.4,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,2,25,16,0,16,0.0,-13.95,-23.18,-7.1,1.4,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,0,16,16,0,100.0,17.87,12.68,26.09,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,2,16,16,0,100.0,15.61,10.43,23.81,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,4,16,16,0,100.0,13.34,8.18,21.54,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,6,16,16,0,100.0,11.07,5.92,19.26,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,8,16,16,0,100.0,8.81,3.67,16.98,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,10,16,16,0,100.0,6.54,1.41,14.71,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,12,16,13,3,81.25,4.28,-0.87,12.43,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,15,16,10,6,62.5,0.88,-4.33,9.01,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0,20,16,2,14,12.5,-4.79,-10.18,3.32,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
