counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,seeds_used,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,worst_energy_z,max_cmax_after_speed,worst_energy_seed,binding_time_seed,primal_min,dual_min,stationarity_s_single,stationarity_s_dual,stationarity_z,stationarity_norm,max_complementarity_error,active_constraints,active_time_seeds,active_energy_seeds,selected_multipliers,kkt_pass,kkt_note
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.25,2987.916667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,12217.644085,2660.931561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.25,2987.916667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.3,3107.433333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,12217.644085,2660.931561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.3,3107.433333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.35,3226.95,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,12217.644085,2660.931561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.35,3226.95,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.4,3346.466667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,12217.644085,2660.931561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.4,3346.466667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.5,3585.5,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,12217.644085,2660.931561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.5,3585.5,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
